YEAR;CONSPRIV;INCOME
1972;2245298;3528517
1973;2694358;4268953
1974;3332920;5211709
1975;3919514;6093289
1976;4817083;7307125
1977;6050257;9249401
1978;7272408;11313438
1979;8581442;13227155
1980;9991461;15152371
1981;11301418;16936024
1982;12939220;19587573
1983;14604224;22328288
1984;16304611;25294168
1985;18079989;28051093
1986;20437730;32159983
1987;22855769;36115610
1988;25179579;40173145
1989;28366939;45052700
1990;31303377;49974959
1991;34268769;54671930
1992;37277131;58613821
1993;38481942;60677558
1994;40723458;63825400
1995;43313579;69771688
1996;45668198;73304997
1997;48276817;77244254
